"date:,conditions,26.07,01.08,09.08,09.08,17.08,17.08,23.08,23.08,26.08,conditions,27.07,02.08,10.08,10.08,18.08,18.08,18.08,24.08,conditions,28.07,03.08,26.08,26.08,28.08,28.08,28.08"
"5280TSB,37Â°C 24H,""0,084"",""0,106"",""0,582"",""0,265"",""3,228"",""3,334"",""1,207"",""1,735"",""1,64"",37Â°C 48H,""0,134"",""0,276"",""0,801"",""0,981"",""0,802"",""0,434"",""0,808"",""0,823"",37Â°C 72H,""0,035"",""0,471"",""1,064"",""0,791"",""0,839"",""0,318"",""0,671"",""0,883"""
"5643TSB,37Â°C 24H,""0,089"",""0,096"",""0,623"",""0,379"",""2,784"",""1,301"",""0,397"",""0,282"",""0,333"",37Â°C 48H,""0,082"",""0,128"",""0,539"",""0,483"",""1,547"",""0,39"",""1,44"",""0,567"",37Â°C 72H,""0,034"",""0,324"",""1,082"",""0,668"",""0,21"",""0,228"",""0,323"",""0,232"""
"6101BHI,37Â°C 24H,""0,214"",""0,308"",""0,795"",""0,892"",""3,197"",""3,728"",""3,273"",""3,502"",""1,85"",37Â°C 48H,""0,214"",""0,096"",""0,996"",""0,86"",""2,088"",""1,186"",""1,316"",""2,691"",37Â°C 72H,""0,229"",""0,433"",""2,365"",""2,373"",""1,736"",""0,884"",""1,604"",""2,152"""
"5216BHI,37Â°C 24H,""0,099"",""0,099"",""0,56"",""0,52"",""3,382"",""2,686"",""0,422"",""1,211"",""0,784"",37Â°C 48H,""0,092"",""0,091"",""0,635"",""0,428"",""0,281"",""0,215"",""0,224"",""1,246"",37Â°C 72H,""0,093"",""0,516"",""1,119"",""2,087"",""0,474"",""0,534"",""1,215"",""0,411"""
"5280BHI,37Â°C 24H,""0,125"",""0,105"",""0,958"",""0,886"",""3,61"",""3,523"",""0,534"",""1,055"",""1"",37Â°C 48H,""0,184"",""0,747"",""0,846"",""0,985"",""0,406"",""0,297"",""0,32"",""1,129"",37Â°C 72H,""0,085"",""0,316"",""0,459"",""0,831"",""0,984"",""0,686"",""1,121"",""1,056"""
"5643BHI,37Â°C 24H,""0,128"",""0,117"",""0,524"",""0,483"",""1,562"",""1,78"",""0,414"",""0,571"",""0,554"",37Â°C 48H,""0,124"",""0,743"",""0,366"",""0,713"",""0,403"",""0,262"",""0,384"",""0,83"",37Â°C 72H,""0,079"",""1,159"",""0,764"",""1,861"",""0,385"",""0,544"",""1,038"",""0,373"""
"6101M63,37Â°C 24H,""0,566"",""0,742"",""0,822"",""0,623"",""2,461"",""2,536"",""2,547"",""2,001"",""1,642"",37Â°C 48H,""0,774"",""0,096"",""0,499"",""1,203"",""1,935"",""1,403"",""1,469"",""2,244"",37Â°C 72H,""0,518"",""0,712"",""2,449"",""1,891"",""2,423"",""0,354"",""0,669"",""2,497"""
"5216M63,37Â°C 24H,""0,073"",""0,075"",""0,346"",""0,366"",""1,554"",""0,381"",""0,189"",""0,091"",""0,25"",37Â°C 48H,""0,086"",""0,1"",""0,51"",""0,423"",""0,097"",""0,088"",""0,091"",""0,349"",37Â°C 72H,""0,13"",""0,341"",""0,111"",""0,179"",""0,374"",""0,106"",""0,175"",""0,169"""
"5280M63,37Â°C 24H,""0,114"",""0,084"",""0,409"",""0,28"",""1,641"",""0,761"",""0,177"",""0,141"",""0,155"",37Â°C 48H,""0,111"",""0,073"",""0,471"",""0,282"",""0,115"",""0,09"",""0,127"",""0,594"",37Â°C 72H,""0,121"",""0,147"",""0,193"",""0,186"",""0,149"",""0,13"",""0,247"",""0,357"""
"5643M63,37Â°C 24H,""0,111"",""0,082"",""0,159"",""0,166"",""0,734"",""0,149"",""0,26"",""0,149"",""0,126"",37Â°C 48H,""0,171"",""0,073"",""0,34"",""0,58"",""0,084"",""0,092"",""0,113"",""0,513"",37Â°C 72H,""0,143"",""0,144"",""0,134"",""0,184"",""0,168"",""0,523"",""0,527"",""0,222"""
