"date:,conditions,26.07,01.08,09.08,09.08,17.08,17.08,23.08,23.08,26.08,conditions,27.07,02.08,10.08,10.08,18.08,18.08,18.08,24.08,27.08,27.08,27.08,27.08,conditions,28.07,03.08,26.08,26.08,28.08,28.08"
"5216 TSB,28Â°C 24H,""0,129"",""0,258"",""0,714"",""0,336"",""1,368"",""3,342"",""0,908"",""0,536"",""0,264"",28Â°C  48H,""0,09"",""0,227"",""0,605"",""0,706"",""0,279"",""0,194"",""0,446"",""1,117"",""0,448"",""1,07"",""0,524"",""0,607"",28Â°C  72H,""0,097"",""0,306"",""0,674"",""0,969"",""0,488"",""0,366"""
"5280 TSB,28Â°C 24H,""0,122"",""0,162"",""0,409"",""0,596"",""0,949"",""3,053"",""0,174"",""0,534"",""0,329"",28Â°C  48H,""0,125"",""0,276"",""0,428"",""0,977"",""0,223"",""0,162"",""0,305"",""0,553"",""0,686"",""0,707"",""0,873"",""0,774"",28Â°C  72H,""0,098"",""0,355"",""0,528"",""0,39"",""1,315"",""1,003"""
"5643 TSB,28Â°C 24H,""0,094"",""0,07"",""0,593"",""0,09"",""1,45"",""2,311"",""0,342"",""0,557"",""0,201"",28Â°C  48H,""0,072"",""0,134"",""0,29"",""0,349"",""0,155"",""0,11"",""0,129"",""0,353"",""0,211"",""0,722"",""0,517"",""0,575"",28Â°C  72H,""0,07"",""0,248"",""0,209"",""0,316"",""0,267"",""0,204"""
"6101 BHI,28Â°C 24H,""0,172"",""0,121"",""0,323"",""0,37"",""1,27"",""2,73"",""1,381"",""2,448"",""0,864"",28Â°C  48H,""0,136"",""0,183"",""0,658"",""0,361"",""0,593"",""0,814"",""0,644"",""1,121"",""1,919"",""2,182"",""1,299"",""3,271"",28Â°C  72H,""0,11"",""0,426"",""1,767"",""1,919"",""3,237"",""3,384"""
"5216 BHI,28Â°C 24H,""0,118"",""0,304"",""0,396"",""0,402"",""1,687"",""3,054"",""0,747"",""2,004"",""0,778"",28Â°C  48H,""0,072"",""0,212"",""0,538"",""0,381"",""0,365"",""0,324"",""1,046"",""0,763"",""0,754"",""1,096"",""0,534"",""0,891"",28Â°C  72H,""0,065"",""0,472"",""0,691"",""0,575"",""0,862"",""0,581"""
"5280 BHI,28Â°C 24H,""0,112"",""0,272"",""0,399"",""0,706"",""2,499"",""3,2"",""0,385"",""1,138"",""0,388"",28Â°C  48H,""0,104"",""0,125"",""0,836"",""0,914"",""0,772"",""0,474"",""0,994"",""1,099"",""1,022"",""0,947"",""0,556"",""1,082"",28Â°C  72H,""0,127"",""0,848"",""1,112"",""0,926"",""1,113"",""0,725"""
"5643 BHI,28Â°C 24H,""0,083"",""0,209"",""0,307"",""0,599"",""3,582"",""3,476"",""0,709"",""1,096"",""0,365"",28Â°C  48H,""0,105"",""0,156"",""0,374"",""0,452"",""0,46"",""0,377"",""0,771"",""0,607"",""0,547"",""0,591"",""0,309"",""0,581"",28Â°C  72H,""0,07"",""0,483"",""0,53"",""0,383"",""0,9"",""0,527"""
"6101 M63,28Â°C 24H,""0,378"",""0,325"",""0,501"",""0,64"",""2,41"",""2,333"",""0,853"",""1,613"",""0,925"",28Â°C  48H,""0,265"",""0,118"",""0,449"",""0,524"",""0,806"",""0,831"",""0,662"",""0,663"",""0,727"",""0,33"",""0,376"",""0,938"",28Â°C  72H,""0,395"",""0,586"",""0,518"",""0,498"",""2,834"",""2,83"""
"5216 M63,28Â°C 24H,""0,102"",""0,095"",""0,344"",""0,371"",""1,179"",""0,714"",""0,211"",""0,288"",""0,265"",28Â°C  48H,""0,095"",""0,067"",""0,342"",""0,244"",""0,098"",""0,091"",""0,08"",""0,124"",""0,16"",""0,15"",""0,123"",""0,215"",28Â°C  72H,""0,103"",""0,266"",""0,149"",""0,136"",""0,249"",""0,468"""
"5280 M63,28Â°C 24H,""0,115"",""0,228"",""0,198"",""0,389"",""1,089"",""0,393"",""0,099"",""0,366"",""0,274"",28Â°C  48H,""0,121"",""0,089"",""0,33"",""0,205"",""0,266"",""0,097"",""0,137"",""0,198"",""0,187"",""0,167"",""0,129"",""0,313"",28Â°C  72H,""0,119"",""0,356"",""0,229"",""0,154"",""0,204"",""0,437"""
"5643 M63,28Â°C 24H,""0,299"",""0,595"",""0,193"",""0,381"",""1,773"",""1,431"",""0,719"",""0,87"",""0,97"",28Â°C  48H,""0,352"",""0,569"",""0,542"",""0,469"",""0,707"",""0,576"",""0,843"",""0,892"",""0,64"",""0,519"",""0,493"",""0,796"",28Â°C  72H,""0,296"",""0,315"",""0,739"",""0,897"",""0,199"",""0,201"""
